Open-start,Open-stop,Open-total,Close-start,Close-stop,Close-total,Idle-start,Idle-stop,Idle-total
1.24,1.29,5,1.31,1.34,3,1.35,1.41,6
1.42,1.48,6,1.49,1.53,4,1.55,2,5
2.01,2.07,6,2.08,2.12,4,2.14,2.18,4
2.21,2.28,7,2.29,2.33,4,2.34,2.39,5
2.45,2.51,6,2.52,2.56,4,2.57,3.03,6
3.05,3.09,4,3.11,3.14,3,3.16,3.21,5
3.26,3.33,7,3.35,3.39,4,3.41,3.46,5
3.48,3.52,4,3.54,3.58,4,4,4.05,5
4.09,4.16,7,4.17,4.2,3,4.22,4.29,7
4.3,4.37,7,4.38,4.41,3,4.43,4.49,6
4.51,4.57,6,4.59,5.03,4,5.05,5.09,4
5.12,5.17,5,5.18,5.22,4,5.23,5.29,6
5.3,5.37,7,5.38,5.42,4,5.43,5.48,5
5.54,6.01,7,6.03,6.06,3,6.08,6.13,5
6.16,6.24,8,6.27,6.31,4,6.33,6.37,4
6.39,6.45,6,6.46,6.5,4,6.51,6.56,5
6.58,7.03,5,7.07,7.1,3,7.12,7.17,5
7.19,7.25,6,7.27,7.31,4,7.32,7.36,4
7.38,7.46,8,7.48,7.51,3,7.54,7.58,4
8,8.06,6,8.07,8.1,3,8.12,8.16,4
0.03,0.08,5,0.09,0.13,4,0.14,0.21,7
0.22,0.26,4,0.28,0.31,3,0.33,0.36,3
0.37,0.43,6,0.44,0.47,3,0.5,0.53,3
0.55,1,5,1.01,1.04,3,1.05,1.1,5
1.11,1.16,5,1.18,1.21,3,1.22,1.26,4
1.27,1.31,4,1.32,1.35,3,1.36,1.39,3
1.41,1.46,5,1.47,1.5,3,1.51,1.56,5
1.57,2.02,5,2.03,2.06,3,2.07,2.12,5
2.13,2.18,5,2.19,2.22,3,2.23,2.27,4
2.29,2.33,4,2.34,2.37,3,2.38,2.42,4
2.43,2.48,5,2.49,2.53,4,2.54,2.58,4
2.59,3.04,5,3.05,3.08,3,3.09,3.14,5
3.16,3.2,4,3.21,3.25,4,3.26,3.3,4
3.32,3.35,3,3.36,3.39,3,3.4,3.45,5
3.46,3.5,4,3.51,3.54,3,3.55,3.59,4
4,4.04,4,4.05,4.08,3,4.1,4.13,3
4.26,4.32,6,4.34,4.36,2,4.38,4.42,4
4.43,4.47,4,4.48,4.51,3,4.52,4.57,5
4.59,5.04,5,5.05,5.08,3,5.09,5.14,5
5.16,5.2,4,5.21,5.25,4,5.26,5.3,4
5.31,5.35,4,5.36,5.39,3,4.21,4.24,3
